Бумага;ISIN;Торговый код;Номер платежа;Дата фактической выплаты;Ставка купона, % годовых;Сумма купона, RUB;Погашение номинала, RUB
Россия, 26219;RU000A0JWM07;SU26219RMFS4;13;21.09.2022;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;14;22.03.2023;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;15;20.09.2023;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;16;20.03.2024;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;17;18.09.2024;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;18;19.03.2025;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;19;17.09.2025;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;20;18.03.2026;7.75;38.64;
Россия, 26219;RU000A0JWM07;SU26219RMFS4;21;16.09.2026;7.75;38.64;1 000
Россия, 46011;RU0002867854;SU46011RMFS1;1;17.09.2003;0;0;
Россия, 46011;RU0002867854;SU46011RMFS1;2;15.09.2004;0;0;
Россия, 46011;RU0002867854;SU46011RMFS1;3;14.09.2005;0;0;
Россия, 46011;RU0002867854;SU46011RMFS1;4;13.09.2006;0;0;
Россия, 46011;RU0002867854;SU46011RMFS1;5;12.09.2007;0;0;
Россия, 46011;RU0002867854;SU46011RMFS1;6;10.09.2008;0;0;
Россия, 46011;RU0002867854;SU46011RMFS1;7;09.09.2009;0;0;
Россия, 46011;RU0002867854;SU46011RMFS1;8;08.09.2010;0;0;
Россия, 46011;RU0002867854;SU46011RMFS1;9;07.09.2011;0;0;
Россия, 46011;RU0002867854;SU46011RMFS1;10;05.09.2012;0;0;
Россия, 46011;RU0002867854;SU46011RMFS1;11;04.09.2013;10;99.73;
Россия, 46011;RU0002867854;SU46011RMFS1;12;03.09.2014;10;99.73;
Россия, 46011;RU0002867854;SU46011RMFS1;13;02.09.2015;10;99.73;
Россия, 46011;RU0002867854;SU46011RMFS1;14;31.08.2016;10;99.73;
Россия, 46011;RU0002867854;SU46011RMFS1;15;30.08.2017;10;99.73;
Россия, 46011;RU0002867854;SU46011RMFS1;16;29.08.2018;10;99.73;
Россия, 46011;RU0002867854;SU46011RMFS1;17;28.08.2019;10;99.73;
Россия, 46011;RU0002867854;SU46011RMFS1;18;26.08.2020;10;99.73;100
Россия, 46011;RU0002867854;SU46011RMFS1;19;25.08.2021;10;89.75;100
Россия, 46011;RU0002867854;SU46011RMFS1;20;24.08.2022;10;79.78;200
Россия, 46011;RU0002867854;SU46011RMFS1;21;23.08.2023;10;59.84;100
Россия, 46011;RU0002867854;SU46011RMFS1;22;21.08.2024;10;49.86;200
Россия, 46011;RU0002867854;SU46011RMFS1;23;20.08.2025;10;29.92;300
Россия, 46012;RU0002868001;SU46012RMFS9;1;08.10.2003;3.084;19.94;
Россия, 46012;RU0002868001;SU46012RMFS9;2;06.10.2004;1.045;10.42;
Россия, 46012;RU0002868001;SU46012RMFS9;3;05.10.2005;0.341;3.4;
Россия, 46012;RU0002868001;SU46012RMFS9;4;04.10.2006;1.211;12.08;
Россия, 46012;RU0002868001;SU46012RMFS9;5;03.10.2007;0.705;7.03;
Россия, 46012;RU0002868001;SU46012RMFS9;6;01.10.2008;1.566;15.62;
Россия, 46012;RU0002868001;SU46012RMFS9;7;30.09.2009;0.888;8.86;
Россия, 46012;RU0002868001;SU46012RMFS9;8;29.09.2010;1.948;19.43;
Россия, 46012;RU0002868001;SU46012RMFS9;9;28.09.2011;2.903;28.95;
Россия, 46012;RU0002868001;SU46012RMFS9;10;26.09.2012;3.741;37.31;
Россия, 46012;RU0002868001;SU46012RMFS9;11;25.09.2013;1.359;13.55;
