TRADEDATE,tau,beta0,beta1,beta2
2014-12-22,29.999965027944988,5279697.882538377,42407.153202746995,-734921.4494007353
2014-12-23,29.999965027944988,5301450.962062104,42407.15318467468,-734918.8614717738
2014-12-24,29.999965027944988,5323204.041576479,42407.153166812845,-734916.2735428123
2014-12-25,29.999965027944988,5344957.121081607,42407.15314916056,-734913.6856138508
2014-12-26,29.999965027944988,5366710.200577595,42407.15313161351,-734911.0976848893
2014-12-29,29.999965027944988,5388463.2800645465,42407.15311406739,-734908.5097559278
2014-12-30,29.999965027944988,5410216.359542462,42407.15309673082,-734905.9218269663
2015-01-05,29.999965027944988,5431969.439011551,42407.15307960473,-734903.3338980048
2015-01-06,29.999965027944988,5453722.518471815,42407.15306258388,-734900.7459690433
2015-01-08,29.999965027944988,5475475.597923253,42407.153045562096,-734898.1580400818
2015-01-09,29.999965027944988,5497228.67736597,42407.15302875079,-734895.5701111204
2015-01-12,29.999965027944988,5518981.756800071,42407.1530120438,-734892.9821821589
2015-01-13,29.999965027944988,5540734.836225661,42407.15299554821,-734890.3942531974
2015-01-14,29.999965027944988,5562487.915642741,42407.152979051694,-734887.8063242359
2015-01-15,29.999965027944988,5584240.99505131,42407.15296276566,-734885.2183952744
2015-01-16,29.999965027944988,5605994.074451579,42407.15294658486,-734882.6304663129
2015-01-19,29.999965027944988,5627747.153843546,42407.1529305093,-734880.0425373514
2015-01-20,29.999965027944988,5649500.233227318,42407.15291453898,-734877.4546083899
2015-01-21,29.999965027944988,5671253.312602894,42407.15289877914,-734874.8666794284
2015-01-22,29.999965027944988,5693006.39197038,42407.15288312361,-734872.2787504669
2015-01-23,29.999965027944988,5714759.47132967,42407.15286767855,-734869.6908215054
2015-01-26,29.999965027944988,5736512.550680975,42407.15285233874,-734867.1028925439
2015-01-27,29.999965027944988,5758265.630024401,42407.15283710323,-734864.5149635824
2015-01-28,29.999965027944988,5780018.7093598405,42407.152821972966,-734861.9270346209
2015-01-29,29.999965027944988,5801771.788687505,42407.15280705318,-734859.3391056594
2015-01-30,29.999965027944988,5823524.868007499,42407.15279213339,-734856.7511766979
2015-02-02,29.999965027944988,5845277.947319718,42407.15277731791,-734854.1632477364
2015-02-03,29.999965027944988,5867031.0266244775,42407.15276250243,-734851.5753187749
2015-02-04,29.999965027944988,5888784.1059215665,42407.15274789743,-734848.9873898134
2015-02-05,29.999965027944988,5910537.185211196,42407.15273339767,-734846.3994608519
2015-02-06,29.999965027944988,5932290.26449326,42407.15271900222,-734843.8115318904
2015-02-09,29.999965027944988,5954043.343767864,42407.152704712,-734841.2236029289
2015-02-10,29.999965027944988,5975796.423035217,42407.15269052703,-734838.6356739674
2015-02-11,29.999965027944988,5997549.502295217,42407.152676447295,-734836.0477450059
2015-02-12,29.999965027944988,6019302.581548071,42407.15266236756,-734833.4598160444
2015-02-13,29.999965027944988,6041055.66079357,42407.152648498304,-734830.8718870829
2015-02-16,29.999965027944988,6062808.740031924,42407.15263473429,-734828.2839581214
2015-02-17,29.999965027944988,6084561.819263238,42407.15262107551,-734825.6960291599
2015-02-18,29.999965027944988,6106314.898487513,42407.15260752197,-734823.1081001984
2015-02-19,29.999965027944988,6128067.977704853,42407.1525938632,-734820.520171237
2015-02-20,29.999965027944988,6149821.056915258,42407.15258041397,-734817.9322422754
2015-02-24,29.999965027944988,6171574.136118623,42407.15256717522,-734815.344313314
2015-02-25,29.999965027944988,6193327.215315159,42407.15255393647,-734812.7563843525
2015-02-26,29.999965027944988,6215080.294504971,42407.152540802024,-734810.168455391
2015-02-27,29.999965027944988,6236833.373687954,42407.15252787806,-734807.5805264295
2015-03-02,29.999965027944988,6258586.452864316,42407.1525149541,-734804.992597468
2015-03-03,29.999965027944988,6280339.532034059,42407.152502031066,-734802.4046685065
2015-03-04,29.999965027944988,6302092.611197183,42407.15248921234,-734799.816739545
2015-03-05,29.999965027944988,6323845.690353687,42407.1524766041,-734797.2288105835
2015-03-06,29.999965027944988,6345598.769503676,42407.15246399585,-734794.640881622
2015-03-10,29.999965027944988,6367351.848647256,42407.15245138761,-734792.0529526605
2015-03-11,29.999965027944988,6389104.927784323,42407.15243898891,-734789.465023699
2015-03-12,29.999965027944988,6410858.00691498,42407.15242669545,-734786.8770947375
2015-03-13,29.999965027944988,6432611.086039333,42407.15241440199,-734784.289165776
2015-03-16,29.999965027944988,6454364.1651573805,42407.15240210947,-734781.7012368145
2015-03-17,29.999965027944988,6476117.244269124,42407.15239002649,-734779.113307853
2015-03-18,29.999965027944988,6497870.323374564,42407.15237815399,-734776.5253788915
2015-03-19,29.999965027944988,6519623.40247391,42407.152366280556,-734773.93744993
2015-03-20,29.999965027944988,6541376.481567161,42407.152354513295,-734771.3495209685
2015-03-23,29.999965027944988,6563129.560654214,42407.15234285034,-734768.761592007
2015-03-24,29.999965027944988,6584882.639735382,42407.15233108215,-734766.1736630455
2015-03-25,29.999965027944988,6606635.718810457,42407.15231952444,-734763.585734084
2015-03-26,29.999965027944988,6628388.797879542,42407.152307966724,-734760.9978051225
2015-03-27,29.999965027944988,6650141.876942638,42407.15229661949,-734758.409876161
2015-03-30,29.999965027944988,6671894.955999956,42407.152285272256,-734755.8219471995
2015-03-31,29.999965027944988,6693648.035051389,42407.15227403026,-734753.234018238
