TRADEDATE,tau,beta_0,beta_1,beta_2
2017-04-26,1.0,0.08030597365127108,0.002398966873160782,0.0
2017-04-27,1.0,0.07996179297767253,0.0029291728469037492,0.0
2017-04-28,1.0,0.07945493396270412,0.003695980562910109,0.0
2017-05-02,1.0,0.07916545241990045,0.004473957367382458,0.0
2017-05-03,1.0,0.07879494211873318,0.0044713223035556665,0.0
2017-05-04,1.0,0.0790358977961666,0.004727481455587476,0.0
2017-05-05,1.0,0.08024586887239595,0.004282228539244634,0.0
2017-05-10,1.0,0.0798081800124459,0.004176114748154602,0.0
2017-05-11,1.0,0.07889811489261046,0.0010351610625062568,0.0
2017-05-12,1.0,0.07870908373307144,0.004630016769519019,0.0
2017-05-15,1.0,0.07867530962393421,0.00465040199477347,0.0
2017-05-16,1.0,0.07869106568503606,0.00418481250760247,0.0
2017-05-17,1.0,0.07925563313494524,0.004616028071293979,0.0
2017-05-18,1.0,0.07934340918586448,0.004778827143518724,0.0
2017-05-19,1.0,0.07881582713059351,0.004855724816976825,0.0
2017-05-22,1.0,0.07851186468980546,0.0059340011912129564,0.0
2017-05-23,1.0,0.07834528710784741,0.00589882230517394,0.0
2017-05-24,1.0,0.07852183946814983,0.00623791869567282,0.0
2017-05-25,1.0,0.07861653520014669,0.005508275116077516,0.0
2017-05-26,1.0,0.07911551459470466,0.005560741475719763,0.0
2017-05-29,1.0,0.07894224491631008,0.005525492558934225,0.0
2017-05-30,1.0,0.079332410671903,0.0044547842902440404,0.0
2017-05-31,1.0,0.07929380138223574,0.005596383376413591,0.0
2017-06-01,1.0,0.07922778110612134,0.005472297182415778,0.0
2017-06-02,1.0,0.0789605807505263,0.005035211186003072,0.0
2017-06-05,1.0,0.07893828830284041,0.004502309749935582,0.0
2017-06-06,1.0,0.07893181245985828,0.002901398700984062,0.0
2017-06-07,1.0,0.07897737734838779,0.002078698387939837,0.0
2017-06-08,1.0,0.07921987722459715,0.0013569907898222655,0.0
2017-06-09,1.0,0.07891338527030906,0.0014513832177755481,0.0
2017-06-13,1.0,0.07874690097220882,0.001268732660005198,0.0
2017-06-14,1.0,0.07880145030610164,0.0013065713661385842,0.0
2017-06-15,1.0,0.07956454635551113,0.0003592973571879682,0.0
2017-06-16,1.0,0.07999282622863614,9.360042603002994e-05,0.0
2017-06-19,1.0,0.08046289484385788,-0.0004795161905978701,0.0
2017-06-20,1.0,0.08075010798981153,-0.0012382984111778822,0.0
2017-06-21,1.0,0.08047245177835557,-0.0008671444578786935,0.0
2017-06-22,1.0,0.0800100580186011,-0.00047107915632431385,0.0
2017-06-23,1.0,0.07965496084861468,-0.0007743941924772818,0.0
2017-06-26,1.0,0.07935126649659364,-0.00035514453883271624,0.0
2017-06-27,1.0,0.07957410055967996,-0.00037437540898201116,0.0
2017-06-28,1.0,0.07990632958836,-0.0007027029873053203,0.0
2017-06-29,1.0,0.07980082803285657,-0.0007773138232995275,0.0
2017-06-30,1.0,0.07981242669490296,0.0003249716882030712,0.0
2017-07-03,1.0,0.07970254125160965,0.0010621957075117178,0.0
2017-07-04,1.0,0.07973589685688923,0.0006441389230477379,0.0
2017-07-05,1.0,0.07993514934913956,0.000606773208094144,0.0
2017-07-06,1.0,0.08030690752640285,0.0004748044729839529,0.0
2017-07-07,1.0,0.08078761887160754,4.473140896082972e-05,0.0
2017-07-10,1.0,0.08050793473360236,-0.0002389644594045226,0.0
2017-07-11,1.0,0.08079522996853891,0.00028455847382161115,0.0
2017-07-12,1.0,0.08057099789852942,0.0005625760328479834,0.0
2017-07-13,1.0,0.0801675848393188,0.0005668426741303745,0.0
2017-07-14,1.0,0.0798133635836205,0.0006173280083609511,0.0
2017-07-17,1.0,0.07966544861324162,0.0007611076966033553,0.0
2017-07-18,1.0,0.0798805377074294,0.00015441996696742566,0.0
2017-07-19,1.0,0.07988415876793051,8.007021981121243e-05,0.0
2017-07-20,1.0,0.07984639169592501,0.00031156831333241375,0.0
2017-07-21,1.0,0.07940817163094492,0.0006791394631716352,0.0
2017-07-24,1.0,0.08032892951428598,-0.00014515095845950288,0.0
2017-07-25,1.0,0.08036537879398001,-0.0007761035186848453,0.0
2017-07-26,1.0,0.08025352705727999,-0.00029772748683497274,0.0
2017-07-27,1.0,0.07970104777848948,0.00045624217007704526,0.0
2017-07-28,1.0,0.07974876101645159,0.0004209638043907865,0.0
2017-07-31,1.0,0.07983618495703415,0.0005450809030650844,0.0
2017-08-01,1.0,0.07981014750247095,0.0008027219369156346,0.0
2017-08-02,1.0,0.07979753884359449,1.247488277941744e-06,0.0
2017-08-03,1.0,0.0798908106555479,0.0001904686003115913,0.0
2017-08-04,1.0,0.07901457580705894,-0.0002573380495520111,0.0
2017-08-07,1.0,0.07893037407490615,0.0004740748012967422,0.0
2017-08-08,1.0,0.07916418801943384,0.00021319346242221204,0.0
2017-08-09,1.0,0.0793581443801165,0.0007851957098351653,0.0
2017-08-10,1.0,0.07903511316589742,-0.00012231420271585636,0.0
2017-08-11,1.0,0.07912276241838895,-0.00046875633178669607,0.0
2017-08-14,1.0,0.07895732512367307,-0.0005147612477838653,0.0
2017-08-15,1.0,0.07910502705982556,-0.001817506689759718,0.0
2017-08-16,1.0,0.079022384909615,0.0005315480923221566,0.0
2017-08-17,1.0,0.07903794191071199,-8.274891519555183e-06,0.0
2017-08-18,1.0,0.0790583876555007,-0.0009870052985780225,0.0
2017-08-21,1.0,0.07911123925602107,-0.0004687357942986803,0.0
2017-08-22,1.0,0.07916742969859238,0.00027205326054738355,0.0
2017-08-23,1.0,0.07920847657908683,-0.00028753290339923743,0.0
2017-08-24,1.0,0.07923044135495314,0.000647581246636636,0.0
2017-08-25,1.0,0.07925520894445054,-4.852132339097648e-05,0.0
2017-08-28,1.0,0.07940716764239425,6.523733676164212e-05,0.0
2017-08-29,1.0,0.07956623610678812,-0.0002235501622944308,0.0
2017-08-30,1.0,0.07937324241962689,-0.0016719956118616819,0.0
2017-08-31,1.0,0.07900113915006586,-0.000798424698938982,0.0
2017-09-01,1.0,0.0785495148194417,0.00018743598271885042,0.0
2017-09-04,1.0,0.0783286911389974,0.0006791444535018121,0.0
2017-09-05,1.0,0.0782093646693938,0.0016994031679895827,0.0
2017-09-06,1.0,0.0773047193003321,0.0018545550159192181,0.0
2017-09-07,1.0,0.07722967982879071,-0.0001754600226406139,0.0
2017-09-08,1.0,0.07716012704178647,-4.213231602147316e-05,0.0
2017-09-11,1.0,0.07712122170110036,0.0004429438002043484,0.0
2017-09-12,1.0,0.07722761404823998,-1.1574685300053122e-05,0.0
2017-09-13,1.0,0.0774695343411601,-0.0009423173143443125,0.0
2017-09-14,1.0,0.07734628180560496,-0.0003324714639607318,0.0
2017-09-15,1.0,0.07733497390372765,-0.001134248232421295,0.0
2017-09-18,1.0,0.07754134303631963,-0.000541509793510489,0.0
2017-09-19,1.0,0.07760508707844105,-3.815056006854778e-05,0.0
2017-09-20,1.0,0.07747629340154051,-0.00045356681970390444,0.0
2017-09-21,1.0,0.07771048650784973,-0.0010615462058045089,0.0
2017-09-22,1.0,0.07767106158090398,-0.0030718790034485466,0.0
2017-09-25,1.0,0.07784171008998184,-0.001184468926712312,0.0
2017-09-26,1.0,0.0780244133626739,-0.001141393512607794,0.0
2017-09-27,1.0,0.07851262926589744,-0.0007167019875699843,0.0
2017-09-28,1.0,0.07796985584232258,-2.9147683516569933e-05,0.0
2017-09-29,1.0,0.07789458819866787,-0.00015395403072832048,0.0
2017-10-02,1.0,0.07806114045448516,-0.0004865587736133381,0.0
2017-10-03,1.0,0.07814855353785742,-6.589563059113124e-05,0.0
2017-10-04,1.0,0.07803796724365812,-0.000950080743122847,0.0
2017-10-05,1.0,0.0776758459599643,-0.00017490099188065267,0.0
2017-10-06,1.0,0.07777612399492448,-0.0005228614696854983,0.0
2017-10-09,1.0,0.07791224587307086,0.00011481070125600457,0.0
2017-10-10,1.0,0.07771292388358929,-0.0002481329439856933,0.0
2017-10-11,1.0,0.07744311915976948,0.0009489892693451685,0.0
2017-10-12,1.0,0.0772931046165404,0.001762022924520365,0.0
2017-10-13,1.0,0.07705967447163051,0.0003623962598381242,0.0
2017-10-16,1.0,0.0771861151867151,-0.0012639239728770707,0.0
2017-10-17,1.0,0.07740144310536626,-0.0013238821738549844,0.0
2017-10-18,1.0,0.07729045338671597,-0.0014620626994861635,0.0
2017-10-19,1.0,0.07722762624974228,-0.0021760863229019073,0.0
2017-10-20,1.0,0.07728805633212255,-0.0013298966310834048,0.0
2017-10-23,1.0,0.07725775901459854,-0.0019296103311902263,0.0
2017-10-24,1.0,0.07735141211316593,-0.0010378037857126793,0.0
2017-10-25,1.0,0.07736678152276756,-0.0011973944083304155,0.0
2017-10-26,1.0,0.07747358336539796,-0.0012108246589692812,0.0
2017-10-27,1.0,0.07753472540528336,0.0005250241611406137,0.0
2017-10-30,1.0,0.07733796613003387,-0.00034601002201042896,0.0
2017-10-31,1.0,0.07743661129843157,-0.00016761739962220523,0.0
2017-11-01,1.0,0.07736067417191297,-0.0020741196247170135,0.0
2017-11-02,1.0,0.07736705896588626,-0.002486682507206281,0.0
2017-11-03,1.0,0.0774347091317096,-0.002848589955715075,0.0
2017-11-07,1.0,0.07737912416856291,-0.0031348364405032886,0.0
2017-11-08,1.0,0.07753230218563634,-0.0026209868991339674,0.0
2017-11-09,1.0,0.07768718066453327,-0.0032673590008124725,0.0
2017-11-10,1.0,0.07767939878108479,-0.0036034160192600223,0.0
2017-11-13,1.0,0.07822815693507972,-0.004454263960032595,0.0
2017-11-14,1.0,0.07843637842269462,-0.00524548012976421,0.0
2017-11-15,1.0,0.07843264457953923,-0.004706527026332008,0.0
2017-11-16,1.0,0.0781341375928183,-0.004318583312639651,0.0
2017-11-17,1.0,0.07794889933136612,-0.004631890619077511,0.0
2017-11-20,1.0,0.078083006027922,-0.004934486658730974,0.0
2017-11-21,1.0,0.07825085850604696,-0.005588904138597181,0.0
2017-11-22,1.0,0.07793174272530433,-0.005389038397577248,0.0
2017-11-23,1.0,0.07777910638577587,-0.0054952572761446244,0.0
2017-11-24,1.0,0.07781238422585787,-0.0057570336690916935,0.0
2017-11-27,1.0,0.0777922800012599,-0.0050200023326724685,0.0
2017-11-28,1.0,0.07762819078800859,-0.006023355959572013,0.0
2017-11-29,1.0,0.07761332078215002,-0.007123203728615371,0.0
2017-11-30,1.0,0.0777906045819873,-0.0059831820032245076,0.0
2017-12-01,1.0,0.07755556246253886,-0.006401678380203044,0.0
2017-12-04,1.0,0.07777073530741174,-0.006332019034772318,0.0
2017-12-05,1.0,0.07764189218897934,-0.005809589525914344,0.0
2017-12-06,1.0,0.07763943393182425,-0.005948920084933487,0.0
2017-12-07,1.0,0.07749563551427266,-0.006184695878505078,0.0
2017-12-08,1.0,0.07749159569886895,-0.006765361526935146,0.0
2017-12-11,1.0,0.07741508076336359,-0.005046103610655661,0.0
