BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION,,,,,,,
SNDX;RGBITR;2020-03-05;MOEX Government Bond Index;MOEX Government Bond Index;586,8;586,32;588,25;586,2;69109612364;1927;5,93;2;7985735304410;RUB;1,000000;3,
SNDX;RGBITR;2020-03-04;MOEX Government Bond Index;MOEX Government Bond Index;586,18;581,21;586,2;581,21;79845411635,7;1928;5,95;2;7988670737730;RUB;1,000000;3
SNDX;RGBITR;2020-03-03;MOEX Government Bond Index;MOEX Government Bond Index;580,92;576,59;580,92;576,59;46895746605,3;1918;6,13;2;7916931057460;RUB;1,000000;3
SNDX;RGBITR;2020-03-02;MOEX Government Bond Index;MOEX Government Bond Index;576,7;574,44;578,82;574,21;49792196208,9;1912;6,27;2;7859479133190;RUB;1,000000;3
SNDX;RGBITR;2020-02-28;MOEX Government Bond Index;MOEX Government Bond Index;573,25;582,29;582,35;572,44;66172896080,9;1860;6,38;2;7521727876040;RUB;1,000000;3
SNDX;RGBITR;2020-02-27;MOEX Government Bond Index;MOEX Government Bond Index;582,24;583,98;584,01;582,24;38414721381,4;1876;6,05;2;7639662649580;RUB;1,000000;3
SNDX;RGBITR;2020-02-26;MOEX Government Bond Index;MOEX Government Bond Index;583,84;585,86;585,99;583,24;37241045174,8;1879;6;2;7660655036970;RUB;1,000000;3,
SNDX;RGBITR;2020-02-25;MOEX Government Bond Index;MOEX Government Bond Index;585,76;587;587,94;585,76;22343007302,6;1886;5,92;2;7685907310310;RUB;1,000000;3,
SNDX;RGBITR;2020-02-21;MOEX Government Bond Index;MOEX Government Bond Index;586,56;587,78;588,32;585,87;27963830546,7;1891;5,88;2;7696461186510;RUB;1,000000;3
SNDX;RGBITR;2020-02-20;MOEX Government Bond Index;MOEX Government Bond Index;587,68;586,55;587,73;586,55;26886094344;1896;5,84;2;7711220440010;RUB;1,000000;3,
SNDX;RGBITR;2020-02-19;MOEX Government Bond Index;MOEX Government Bond Index;586,43;585,4;586,43;585,4;29098948306,2;1894;5,88;2;7714736493390;RUB;1,000000;3
SNDX;RGBITR;2020-02-18;MOEX Government Bond Index;MOEX Government Bond Index;585,28;585,5;586,48;584,85;16211094211,1;1891;5,92;2;7699607095240;RUB;1,000000;3
SNDX;RGBITR;2020-02-17;MOEX Government Bond Index;MOEX Government Bond Index;585,36;585,58;585,93;585,33;18417211170,7;1892;5,91;2;7700670854260;RUB;1,000000;3
SNDX;RGBITR;2020-02-14;MOEX Government Bond Index;MOEX Government Bond Index;584,69;583,82;584,71;583,76;38016149697,1;1894;5,93;2;7691877380070;RUB;1,000000;3
