Дата фактической выплаты,Бумага,ISIN,Торговый код,Номер платежа,"Ставка купона, % годовых","Сумма купона, RUB","Погашение номинала, RUB"
2020-05-27 00:00:00,26214,RU000A0JTYA5,SU26214RMFS5,14,6.4,31.91,1000.0
2014-02-26 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,1,7.0,33.56,0.0
2014-08-27 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,2,7.0,34.9,0.0
2015-02-25 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,3,7.0,34.9,0.0
2015-08-26 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,4,7.0,34.9,0.0
2016-02-24 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,5,7.0,34.9,0.0
2016-08-24 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,6,7.0,34.9,0.0
2017-02-22 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,7,7.0,34.9,0.0
2017-08-23 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,8,7.0,34.9,0.0
2018-02-21 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,9,7.0,34.9,0.0
2018-08-22 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,10,7.0,34.9,0.0
2019-02-20 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,11,7.0,34.9,0.0
2019-08-21 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,12,7.0,34.9,0.0
2020-02-19 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,13,7.0,34.9,0.0
2020-08-19 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,14,7.0,34.9,0.0
2021-02-17 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,15,7.0,34.9,0.0
2021-08-18 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,16,7.0,34.9,0.0
2022-02-16 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,17,7.0,34.9,0.0
2022-08-17 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,18,7.0,34.9,0.0
2023-02-15 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,19,7.0,34.9,0.0
2023-08-16 00:00:00,26215,RU000A0JU4L3,SU26215RMFS2,20,7.0,34.9,1000.0
2014-05-21 00:00:00,26216,RU000A0JU9V1,SU26216RMFS0,1,6.7,34.69,0.0
2014-11-19 00:00:00,26216,RU000A0JU9V1,SU26216RMFS0,2,6.7,33.41,0.0
2015-05-20 00:00:00,26216,RU000A0JU9V1,SU26216RMFS0,3,6.7,33.41,0.0
2015-11-18 00:00:00,26216,RU000A0JU9V1,SU26216RMFS0,4,6.7,33.41,0.0
2016-05-18 00:00:00,26216,RU000A0JU9V1,SU26216RMFS0,5,6.7,33.41,0.0
2016-11-16 00:00:00,26216,RU000A0JU9V1,SU26216RMFS0,6,6.7,33.41,0.0
2017-05-17 00:00:00,26216,RU000A0JU9V1,SU26216RMFS0,7,6.7,33.41,0.0
2017-11-15 00:00:00,26216,RU000A0JU9V1,SU26216RMFS0,8,6.7,33.41,0.0
2018-05-16 00:00:00,26216,RU000A0JU9V1,SU26216RMFS0,9,6.7,33.41,0.0
2018-11-14 00:00:00,26216,RU000A0JU9V1,SU26216RMFS0,10,6.7,33.41,0.0
2019-05-15 00:00:00,26216,RU000A0JU9V1,SU26216RMFS0,11,6.7,33.41,1000.0
2016-02-24 00:00:00,26217,RU000A0JVW30,SU26217RMFS8,1,7.5,24.45,0.0
2016-08-24 00:00:00,26217,RU000A0JVW30,SU26217RMFS8,2,7.5,37.4,0.0
2017-02-22 00:00:00,26217,RU000A0JVW30,SU26217RMFS8,3,7.5,37.4,0.0
2017-08-23 00:00:00,26217,RU000A0JVW30,SU26217RMFS8,4,7.5,37.4,0.0
2018-02-21 00:00:00,26217,RU000A0JVW30,SU26217RMFS8,5,7.5,37.4,0.0
2018-08-22 00:00:00,26217,RU000A0JVW30,SU26217RMFS8,6,7.5,37.4,0.0
2019-02-20 00:00:00,26217,RU000A0JVW30,SU26217RMFS8,7,7.5,37.4,0.0
